goal,status,structured_revision_count,goal_archive_count,report_count,ad_hoc_review_count,primary_structured_revision,primary_goal_archive,sample_report,sample_ad_hoc_review
393,goal_doc_archive_only,0,1,3,1,,docs/history/goals/archive/goal_393_v0_6_embree_rt_graph_mapping_and_bfs_closure.md,docs/reports/gemini_goal393_v0_6_embree_rt_graph_mapping_and_bfs_closure_review_2026-04-14.md,history/ad_hoc_reviews/2026-04-14-codex-consensus-goal393-v0_6-embree-rt-graph-mapping-and-bfs-closure.md
394,goal_doc_archive_only,0,1,3,1,,docs/history/goals/archive/goal_394_v0_6_optix_rt_graph_mapping_and_bfs_closure.md,docs/reports/gemini_goal394_v0_6_optix_rt_graph_mapping_and_bfs_closure_review_2026-04-14.md,history/ad_hoc_reviews/2026-04-14-codex-consensus-goal394-v0_6-optix-rt-graph-mapping-and-bfs-closure.md
395,goal_doc_archive_only,0,1,3,1,,docs/history/goals/archive/goal_395_v0_6_vulkan_rt_graph_mapping_and_bfs_closure.md,docs/reports/gemini_goal395_v0_6_vulkan_rt_graph_mapping_and_bfs_closure_review_2026-04-14.md,history/ad_hoc_reviews/2026-04-14-codex-consensus-goal395-v0_6-vulkan-rt-graph-mapping-and-bfs-closure.md
396,goal_doc_archive_only,0,1,3,1,,docs/history/goals/archive/goal_396_v0_6_embree_rt_graph_mapping_and_triangle_closure.md,docs/reports/gemini_goal396_v0_6_embree_rt_graph_mapping_and_triangle_closure_review_2026-04-14.md,history/ad_hoc_reviews/2026-04-14-codex-consensus-goal396-v0_6-embree-rt-graph-mapping-and-triangle-closure.md
397,goal_doc_archive_only,0,1,3,1,,docs/history/goals/archive/goal_397_v0_6_optix_rt_graph_mapping_and_triangle_closure.md,docs/reports/gemini_goal397_v0_6_optix_rt_graph_mapping_and_triangle_closure_review_2026-04-14.md,history/ad_hoc_reviews/2026-04-14-codex-consensus-goal397-v0_6-optix-rt-graph-mapping-and-triangle-closure.md
398,goal_doc_archive_only,0,1,4,1,,docs/history/goals/archive/goal_398_v0_6_vulkan_rt_graph_mapping_and_triangle_closure.md,docs/reports/claude_goal398_v0_6_vulkan_rt_graph_mapping_and_triangle_closure_review_2026-04-14.md,history/ad_hoc_reviews/2026-04-14-codex-consensus-goal398-v0_6-vulkan-rt-graph-mapping-and-triangle-closure.md
399,goal_doc_archive_only,0,1,3,1,,docs/history/goals/archive/goal_399_v0_6_rt_multi_backend_correctness_and_perf_gate.md,docs/reports/gemini_goal399_v0_6_rt_multi_backend_correctness_and_perf_gate_review_2026-04-14.md,history/ad_hoc_reviews/2026-04-14-codex-consensus-goal399-v0_6-rt-multi-backend-correctness-and-perf-gate.md
400,goal_doc_archive_only,0,1,4,1,,docs/history/goals/archive/goal_400_v0_6_postgresql_backed_all_engine_correctness_gate.md,docs/reports/claude_goal400_v0_6_postgresql_backed_all_engine_correctness_gate_review_2026-04-14.md,history/ad_hoc_reviews/2026-04-14-codex-consensus-goal400-v0_6-postgresql-backed-all-engine-correctness-gate.md
401,goal_doc_archive_only,0,1,3,1,,docs/history/goals/archive/goal_401_v0_6_large_scale_engine_perf_gate.md,docs/reports/gemini_goal401_v0_6_large_scale_engine_perf_gate_review_2026-04-14.md,history/ad_hoc_reviews/2026-04-14-codex-consensus-goal401-v0_6-large-scale-engine-perf-gate.md
402,goal_doc_archive_only,0,1,2,1,,docs/history/goals/archive/goal_402_v0_6_rt_graph_final_correctness_and_performance_closure.md,docs/reports/goal402_v0_6_rt_graph_final_correctness_and_performance_closure_2026-04-14.md,history/ad_hoc_reviews/2026-04-14-codex-consensus-goal402-v0_6-rt-graph-final-correctness-and-performance-closure.md
403,goal_doc_archive_only,0,1,4,1,,docs/history/goals/archive/goal_403_v0_6_pre_release_code_and_test_cleanup.md,docs/reports/claude_goal403_v0_6_pre_release_code_and_test_cleanup_review_2026-04-14.md,history/ad_hoc_reviews/2026-04-15-codex-consensus-goal403-v0_6-pre-release-code-and-test-cleanup.md
404,goal_doc_archive_only,0,1,4,1,,docs/history/goals/archive/goal_404_v0_6_pre_release_doc_check.md,docs/reports/claude_goal404_v0_6_pre_release_doc_check_review_2026-04-14.md,history/ad_hoc_reviews/2026-04-15-codex-consensus-goal404-v0_6-pre-release-doc-check.md
405,goal_doc_archive_only,0,1,4,1,,docs/history/goals/archive/goal_405_v0_6_pre_release_flow_audit.md,docs/reports/claude_goal405_v0_6_pre_release_flow_audit_review_2026-04-14.md,history/ad_hoc_reviews/2026-04-15-codex-consensus-goal405-v0_6-pre-release-flow-audit.md
406,goal_doc_archive_only,0,1,4,1,,docs/history/goals/archive/goal_406_v0_6_release_hold_after_internal_gates.md,docs/reports/claude_goal406_v0_6_release_hold_after_internal_gates_review_2026-04-14.md,history/ad_hoc_reviews/2026-04-15-codex-consensus-goal406-v0_6-release-hold-after-internal-gates.md
407,goal_doc_archive_only,0,1,1,0,,docs/history/goals/archive/goal_407_v0_6_1_release_decision.md,docs/reports/goal407_v0_6_1_release_decision_2026-04-15.md,
408,goal_doc_archive_only,0,1,1,0,,docs/history/goals/archive/goal_408_v0_6_1_git_release_act.md,docs/reports/goal408_v0_6_1_git_release_act_2026-04-15.md,
409,goal_doc_archive_only,0,1,5,1,,docs/history/goals/archive/goal_409_repo_wide_file_status_audit.md,docs/reports/goal409_ai_checker_review_2026-04-15.md,history/ad_hoc_reviews/2026-04-15-codex-consensus-goal409-repo-wide-file-status-audit.md
410,goal_doc_archive_only,0,1,7,1,,docs/history/goals/archive/goal_410_tutorial_and_example_cross_platform_check.md,docs/reports/goal410_ai_checker_review_2026-04-15.md,history/ad_hoc_reviews/2026-04-15-codex-consensus-goal410-tutorial-and-example-cross-platform-check.md
411,goal_doc_archive_only,0,1,5,1,,docs/history/goals/archive/goal_411_public_surface_ci_automation.md,docs/reports/goal411_ai_checker_review_2026-04-15.md,history/ad_hoc_reviews/2026-04-15-codex-consensus-goal411-public-surface-ci-automation.md
412,goal_doc_archive_only,0,1,4,1,,docs/history/goals/archive/goal_412_rt_db_workload_analysis_for_next_version.md,docs/reports/claude_goal412_rt_db_workload_analysis_for_next_version_review_2026-04-15.md,history/ad_hoc_reviews/2026-04-15-codex-consensus-goal412-rt-db-workload-analysis-for-next-version.md
413,goal_doc_archive_only,0,1,3,1,,docs/history/goals/archive/goal_413_v0_7_rt_db_workload_scope_and_goal_ladder.md,docs/reports/gemini_goal413_v0_7_rt_db_workload_scope_and_goal_ladder_review_2026-04-15.md,history/ad_hoc_reviews/2026-04-15-codex-consensus-goal413-v0_7-rt-db-workload-scope-and-goal-ladder.md
414,goal_doc_archive_only,0,1,4,1,,docs/history/goals/archive/goal_414_v0_7_rt_db_kernel_surface.md,docs/reports/claude_goal414_v0_7_rt_db_kernel_surface_review_2026-04-15.md,history/ad_hoc_reviews/2026-04-15-codex-consensus-goal414-v0_7-rt-db-kernel-surface.md
