[goal3834] Numba PIP baseline start
[goal3838] overlay_seed/numba_dense_all_pairs_scalar_count repeat 49/55 elapsed=0.039475s count=174
[goal3838] overlay_seed/numba_dense_all_pairs_scalar_count repeat 50/55 elapsed=0.039893s count=174
[goal3838] overlay_seed/numba_dense_all_pairs_scalar_count repeat 51/55 elapsed=0.039465s count=174
[goal3838] overlay_seed/numba_dense_all_pairs_scalar_count repeat 52/55 elapsed=0.039459s count=174
[goal3838] overlay_seed/numba_dense_all_pairs_scalar_count repeat 53/55 elapsed=0.039468s count=174
[goal3838] overlay_seed/numba_dense_all_pairs_scalar_count repeat 54/55 elapsed=0.039740s count=174
[goal3838] overlay_seed/numba_dense_all_pairs_scalar_count repeat 55/55 elapsed=0.039416s count=174
[goal3838] overlay_county512_soil512 RTDL/OptiX route start
[goal3310] load RayJoin PIP case
[goal3310] points=512 polygons=478
[goal3310] exact_count=1417
[goal3310] single warmup 1/3
[goal3310] single warmup 2/3
[goal3310] single warmup 3/3
[goal3310] single repeat 1/12 0.187956 ms
[goal3310] single repeat 2/12 0.188753 ms
[goal3310] single repeat 3/12 0.182718 ms
[goal3310] single repeat 4/12 0.181481 ms
[goal3310] single repeat 5/12 0.180408 ms
[goal3310] single repeat 6/12 0.182509 ms
[goal3310] single repeat 7/12 0.181414 ms
[goal3310] single repeat 8/12 0.183180 ms
[goal3310] single repeat 9/12 0.181563 ms
[goal3310] single repeat 10/12 0.182107 ms
[goal3310] single repeat 11/12 0.181988 ms
[goal3310] single repeat 12/12 0.182137 ms
[goal3310] batch 1 executor prepared effective_streams=1
[goal3310] batch 1 warmup 1/3
[goal3310] batch 1 warmup 2/3
[goal3310] batch 1 warmup 3/3
[goal3310] batch 1 repeat 1/8 total=0.178568 ms per=0.178568 ms
[goal3310] batch 1 repeat 2/8 total=0.176825 ms per=0.176825 ms
[goal3310] batch 1 repeat 3/8 total=0.174448 ms per=0.174448 ms
[goal3310] batch 1 repeat 4/8 total=0.174083 ms per=0.174083 ms
[goal3310] batch 1 repeat 5/8 total=0.173904 ms per=0.173904 ms
[goal3310] batch 1 repeat 6/8 total=0.173688 ms per=0.173688 ms
[goal3310] batch 1 repeat 7/8 total=0.172414 ms per=0.172414 ms
[goal3310] batch 1 repeat 8/8 total=0.171453 ms per=0.171453 ms
[goal3310] batch 100 executor prepared effective_streams=16
[goal3310] batch 100 warmup 1/3
[goal3310] batch 100 warmup 2/3
[goal3310] batch 100 warmup 3/3
[goal3310] batch 100 repeat 1/8 total=14.605910 ms per=0.146059 ms
[goal3310] batch 100 repeat 2/8 total=14.512897 ms per=0.145129 ms
[goal3310] batch 100 repeat 3/8 total=14.529303 ms per=0.145293 ms
[goal3310] batch 100 repeat 4/8 total=14.508717 ms per=0.145087 ms
[goal3310] batch 100 repeat 5/8 total=14.527194 ms per=0.145272 ms
[goal3310] batch 100 repeat 6/8 total=14.519796 ms per=0.145198 ms
[goal3310] batch 100 repeat 7/8 total=14.512941 ms per=0.145129 ms
[goal3310] batch 100 repeat 8/8 total=14.541134 ms per=0.145411 ms
